epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,101.358,2.94407,3.53806,3.35866,2.02646,0.00675,0.02041,0.00359,0.00193,0.00506,0.01531,0.00264,0.00078,3.30091,3.8052,3.50693,2.46068,0.0031,0.0031,0.0031
33,104.472,2.87671,3.46982,3.26694,1.90654,0.01333,0.04082,0.00722,0.00177,0.01,0.03061,0.00529,0.00131,3.33557,3.77457,3.48384,2.32752,0.0032,0.0032,0.0032
34,107.476,2.84239,3.26801,3.35172,1.87821,0.01333,0.04082,0.00722,0.00177,0.01,0.03061,0.00529,0.00131,3.33557,3.77457,3.48384,2.32752,0.0033,0.0033,0.0033
35,110.837,3.12064,3.57948,3.2014,1.89712,0.01167,0.03571,0.00669,0.00335,0.00667,0.02041,0.004,0.00111,2.85486,3.77742,3.43416,2.10409,0.0034,0.0034,0.0034
36,113.793,2.81232,3.80748,3.33101,1.93509,0.01167,0.03571,0.00669,0.00335,0.00667,0.02041,0.004,0.00111,2.85486,3.77742,3.43416,2.10409,0.0035,0.0035,0.0035
37,117.152,2.81267,3.41692,3.29686,1.78531,0.01,0.03061,0.00577,0.0026,0.005,0.01531,0.00271,0.00098,2.8336,3.84052,3.42379,2.05799,0.0036,0.0036,0.0036
38,120.252,2.85863,3.14347,3.21445,1.75943,0.01,0.03061,0.00577,0.0026,0.005,0.01531,0.00271,0.00098,2.8336,3.84052,3.42379,2.05799,0.0037,0.0037,0.0037
39,123.354,2.70266,3.52157,3.15565,1.83921,0.01333,0.04082,0.00868,0.00331,0.01333,0.04082,0.00845,0.00195,2.98605,3.88856,3.35815,1.9858,0.0038,0.0038,0.0038
40,126.57,2.52558,3.02784,3.05978,1.70729,0.01333,0.04082,0.00868,0.00331,0.01333,0.04082,0.00845,0.00195,2.98605,3.88856,3.35815,1.9858,0.0039,0.0039,0.0039
41,129.74,2.72729,3.49031,3.16031,1.72937,0.01333,0.04082,0.00875,0.00338,0.00833,0.02551,0.0048,0.00103,3.16265,4.07806,3.37697,2.02503,0.004,0.004,0.004
42,132.815,2.69021,3.22454,3.09219,1.84759,0.01333,0.04082,0.00875,0.00338,0.00833,0.02551,0.0048,0.00103,3.16265,4.07806,3.37697,2.02503,0.0041,0.0041,0.0041
43,135.83,2.79434,3.93732,3.05647,1.81184,0.01333,0.04082,0.00882,0.00402,0.01,0.03061,0.00549,0.00108,3.22035,4.10906,3.32338,2.06019,0.0042,0.0042,0.0042
44,138.923,2.53607,3.47248,3.06836,1.78376,0.01333,0.04082,0.00882,0.00402,0.01,0.03061,0.00549,0.00108,3.22035,4.10906,3.32338,2.06019,0.0043,0.0043,0.0043
45,142.249,2.68904,3.71628,3.09579,1.8994,0.01333,0.04082,0.01141,0.00498,0.015,0.04592,0.00989,0.00283,3.01664,3.98524,3.23979,1.87017,0.0044,0.0044,0.0044
46,145.572,2.50669,3.23837,3.12406,1.69685,0.01333,0.04082,0.01141,0.00498,0.015,0.04592,0.00989,0.00283,3.01664,3.98524,3.23979,1.87017,0.0045,0.0045,0.0045
47,149.056,2.6358,3.61154,3.1175,1.90216,0.01667,0.05102,0.01334,0.00666,0.02,0.06122,0.015,0.00499,2.87579,3.94478,3.17176,1.65933,0.0046,0.0046,0.0046
48,151.994,2.75653,3.82111,2.92318,1.87929,0.01667,0.05102,0.01334,0.00666,0.02,0.06122,0.015,0.00499,2.87579,3.94478,3.17176,1.65933,0.0047,0.0047,0.0047
49,155.323,2.58534,3.26266,2.93032,1.6446,0.02,0.06122,0.01481,0.0064,0.01833,0.05612,0.01342,0.00438,2.80305,3.84255,3.13941,1.63396,0.0048,0.0048,0.0048
50,158.701,2.8729,3.64353,2.81114,1.83238,0.02,0.06122,0.01481,0.0064,0.01833,0.05612,0.01342,0.00438,2.80305,3.84255,3.13941,1.63396,0.0049,0.0049,0.0049
51,162.189,2.411,2.9622,2.87549,1.57866,0.02,0.06122,0.01514,0.00702,0.02167,0.06633,0.01508,0.00369,2.64436,3.88651,3.10038,1.54441,0.005,0.005,0.005
52,165.515,2.35702,2.90818,2.73244,1.69711,0.02,0.06122,0.01514,0.00702,0.02167,0.06633,0.01508,0.00369,2.64436,3.88651,3.10038,1.54441,0.0051,0.0051,0.0051
53,168.788,2.50218,3.25399,2.82723,1.67308,0.02,0.06122,0.01514,0.00702,0.02167,0.06633,0.01508,0.00369,2.64436,3.88651,3.10038,1.54441,0.0052,0.0052,0.0052
54,172.08,2.197,2.87807,2.66294,1.41432,0.02167,0.06633,0.01858,0.00942,0.025,0.07653,0.02242,0.00614,2.6182,3.79033,3.03142,1.50079,0.0053,0.0053,0.0053
55,175.621,2.24152,3.37881,2.76638,1.57727,0.02167,0.06633,0.01858,0.00942,0.025,0.07653,0.02242,0.00614,2.6182,3.79033,3.03142,1.50079,0.0054,0.0054,0.0054
56,178.795,2.3903,3.04495,2.61391,1.5086,0.02167,0.06633,0.01858,0.00942,0.025,0.07653,0.02242,0.00614,2.6182,3.79033,3.03142,1.50079,0.0055,0.0055,0.0055
57,182.37,2.92697,4.208,2.92146,1.84606,0.02,0.06122,0.01427,0.00756,0.01833,0.05612,0.01081,0.00299,2.59587,3.81164,3.03087,1.5142,0.0056,0.0056,0.0056
58,185.951,2.1243,3.02785,2.56352,1.49371,0.02,0.06122,0.01427,0.00756,0.01833,0.05612,0.01081,0.00299,2.59587,3.81164,3.03087,1.5142,0.0057,0.0057,0.0057
59,189.234,2.614,3.00317,2.46044,1.54171,0.02,0.06122,0.01427,0.00756,0.01833,0.05612,0.01081,0.00299,2.59587,3.81164,3.03087,1.5142,0.0058,0.0058,0.0058
60,192.943,2.53155,3.4675,2.77533,1.74416,0.02667,0.08163,0.0253,0.01186,0.02667,0.08163,0.02501,0.00777,2.31687,3.51111,2.8306,1.34815,0.0059,0.0059,0.0059
61,196.416,2.69944,2.96321,2.65143,1.77613,0.02667,0.08163,0.0253,0.01186,0.02667,0.08163,0.02501,0.00777,2.31687,3.51111,2.8306,1.34815,0.006,0.006,0.006
62,199.693,2.14836,3.51288,2.50393,1.46397,0.02667,0.08163,0.0253,0.01186,0.02667,0.08163,0.02501,0.00777,2.31687,3.51111,2.8306,1.34815,0.0061,0.0061,0.0061
63,203.4,2.38175,3.22756,2.56367,1.51658,0.02667,0.08163,0.02755,0.01574,0.02167,0.06633,0.02629,0.00589,2.24217,3.55753,2.79468,1.3748,0.0062,0.0062,0.0062
64,206.74,2.44786,3.48003,2.75824,1.71728,0.02667,0.08163,0.02755,0.01574,0.02167,0.06633,0.02629,0.00589,2.24217,3.55753,2.79468,1.3748,0.0063,0.0063,0.0063
65,210.117,2.07579,3.16752,2.49415,1.5996,0.02667,0.08163,0.02755,0.01574,0.02167,0.06633,0.02629,0.00589,2.24217,3.55753,2.79468,1.3748,0.0064,0.0064,0.0064
66,213.683,2.9889,2.86648,2.46529,1.81278,0.03167,0.09694,0.02625,0.01489,0.01833,0.05612,0.01566,0.00395,2.46523,3.92209,2.75103,1.47121,0.0065,0.0065,0.0065
67,217.083,2.43098,2.78859,2.27426,1.594,0.03167,0.09694,0.02625,0.01489,0.01833,0.05612,0.01566,0.00395,2.46523,3.92209,2.75103,1.47121,0.0066,0.0066,0.0066
68,220.487,2.83838,4.01345,2.46633,1.86055,0.03167,0.09694,0.02625,0.01489,0.01833,0.05612,0.01566,0.00395,2.46523,3.92209,2.75103,1.47121,0.0067,0.0067,0.0067
69,223.974,2.44081,3.32457,2.34635,1.59779,0.03,0.09184,0.03719,0.02102,0.02,0.06122,0.01599,0.00463,2.46484,3.65083,2.67986,1.44819,0.0068,0.0068,0.0068
70,227.376,2.36515,3.33385,2.61465,1.67973,0.03,0.09184,0.03719,0.02102,0.02,0.06122,0.01599,0.00463,2.46484,3.65083,2.67986,1.44819,0.0069,0.0069,0.0069
71,231.096,2.43155,3.14365,2.13257,1.50345,0.03,0.09184,0.03719,0.02102,0.02,0.06122,0.01599,0.00463,2.46484,3.65083,2.67986,1.44819,0.007,0.007,0.007
72,234.991,2.39818,3.06008,2.10415,1.53256,0.03167,0.09694,0.03849,0.01836,0.02667,0.08163,0.0291,0.00741,2.59948,3.66822,2.51104,1.39258,0.0071,0.0071,0.0071
